Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,AWARD_TYPE,SEASON,DWS,DBPM,DRtg,VOTE_POINTS
8,Damian Lillard,25,POR,0,26,1310,0.02,75,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,MVP,2015-16,,,,26
9,James Harden,26,HOU,0,9,1310,0.007,82,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,MVP,2015-16,,,,9
10,Kyle Lowry,29,TOR,0,6,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,MVP,2015-16,,,,6
1,Karl-Anthony Towns,20,MIN,130,650,650,1.0,82,32.0,18.3,10.5,2.0,0.7,1.7,0.542,0.341,0.811,8.3,0.151,ROTY,2015-16,,,,650
2,Kristaps Porziņģis,20,NYK,0,363,650,0.558,72,28.4,14.3,7.3,1.3,0.7,1.9,0.421,0.333,0.838,4.4,0.102,ROTY,2015-16,,,,363
3,Nikola Jokić,20,DEN,0,59,650,0.091,80,21.7,10.0,7.0,2.4,1.0,0.6,0.512,0.333,0.811,6.7,0.185,ROTY,2015-16,,,,59
4,Devin Booker,19,PHO,0,49,650,0.075,76,27.7,13.8,2.5,2.6,0.6,0.3,0.423,0.343,0.84,1.9,0.043,ROTY,2015-16,,,,49
5,Jahlil Okafor,20,PHI,0,34,650,0.052,53,30.0,17.5,7.0,1.2,0.4,1.2,0.508,0.167,0.686,1.2,0.037,ROTY,2015-16,,,,34
6,Justise Winslow,19,MIA,0,7,650,0.011,78,28.6,6.4,5.2,1.5,0.9,0.3,0.422,0.276,0.684,2.5,0.054,ROTY,2015-16,,,,7
7,Emmanuel Mudiay,19,DEN,0,4,650,0.006,68,30.4,12.8,3.4,5.5,1.0,0.5,0.364,0.319,0.67,-2.1,-0.049,ROTY,2015-16,,,,4
8,Myles Turner,19,IND,0,3,650,0.005,60,22.8,10.3,5.5,0.7,0.4,1.4,0.498,0.214,0.727,3.1,0.109,ROTY,2015-16,,,,3
9,D'Angelo Russell,19,LAL,0,1,650,0.002,80,28.2,13.2,3.4,3.3,1.2,0.2,0.41,0.351,0.737,0.0,0.001,ROTY,2015-16,,,,1
1,Eric Gordon,28,HOU,46,358,500,0.716,75,31.0,16.2,2.7,2.5,0.6,0.5,0.406,0.372,0.84,3.8,0.079,6MOY,2016-17,,,,358
10,Tim Hardaway Jr.,24,ATL,0,3,500,0.006,79,27.3,14.5,2.8,2.3,0.7,0.2,0.455,0.357,0.766,4.8,0.107,6MOY,2016-17,,,,3
11T,Malcolm Brogdon,24,MIL,0,1,500,0.002,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,6MOY,2016-17,,,,1
11T,Tyler Johnson,24,MIA,0,1,500,0.002,73,29.8,13.7,4.0,3.2,1.2,0.6,0.433,0.372,0.768,5.8,0.128,6MOY,2016-17,,,,1
11T,Vince Carter,40,MEM,0,1,500,0.002,73,24.6,8.0,3.1,1.8,0.8,0.5,0.394,0.378,0.765,4.0,0.106,6MOY,2016-17,,,,1
2,Andre Iguodala,33,GSW,43,326,500,0.652,76,26.3,7.6,4.0,3.4,1.0,0.5,0.528,0.362,0.706,6.9,0.167,6MOY,2016-17,,,,326
3,Lou Williams,30,TOT,5,70,500,0.14,81,24.6,17.5,2.5,3.0,1.0,0.2,0.429,0.365,0.88,6.1,0.148,6MOY,2016-17,,,,70
4,Zach Randolph,35,MEM,2,46,500,0.092,73,24.5,14.1,8.2,1.7,0.5,0.1,0.449,0.223,0.731,3.2,0.086,6MOY,2016-17,,,,46
5,James Johnson,29,MIA,1,25,500,0.05,76,27.4,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.707,5.1,0.117,6MOY,2016-17,,,,25
6,Greg Monroe,26,MIL,1,21,500,0.042,81,22.5,11.7,6.6,2.3,1.1,0.5,0.533,0.0,0.741,5.6,0.147,6MOY,2016-17,,,,21
7,Jamal Crawford,36,LAC,1,20,500,0.04,82,26.3,12.3,1.6,2.6,0.7,0.2,0.413,0.36,0.857,1.9,0.043,6MOY,2016-17,,,,20
8T,Enes Freedom,24,OKC,1,14,500,0.028,72,21.3,14.3,6.7,0.9,0.4,0.5,0.545,0.132,0.786,5.8,0.183,6MOY,2016-17,,,,14
8T,Patty Mills,28,SAS,0,14,500,0.028,80,21.9,9.5,1.8,3.5,0.8,0.0,0.44,0.414,0.825,5.1,0.139,6MOY,2016-17,,,,14
1,Draymond Green,26,GSW,73,434,500,0.868,76,32.5,10.2,7.9,7.0,2.0,1.4,0.418,0.308,0.709,8.2,0.16,DPOY,2016-17,5.4,3.9,99.0,434
2,Rudy Gobert,24,UTA,16,269,500,0.538,81,33.9,14.0,12.8,1.2,0.6,2.6,0.661,0.0,0.653,14.3,0.25,DPOY,2016-17,6.0,2.2,99.0,269
3,Kawhi Leonard,25,SAS,11,182,500,0.364,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,DPOY,2016-17,4.7,2.2,102.0,182
4,Robert Covington,26,PHI,0,4,500,0.008,67,31.6,12.9,6.5,1.5,1.9,1.0,0.399,0.333,0.822,3.1,0.071,DPOY,2016-17,3.2,1.4,105.0,4
5T,Andre Roberson,25,OKC,0,3,500,0.006,79,30.1,6.6,5.1,1.0,1.2,1.0,0.464,0.245,0.423,4.2,0.085,DPOY,2016-17,3.1,1.4,106.0,3
5T,Hassan Whiteside,27,MIA,0,3,500,0.006,77,32.6,17.0,14.1,0.7,0.7,2.1,0.557,,0.628,9.5,0.181,DPOY,2016-17,5.3,0.5,100.0,3
5T,LeBron James,32,CLE,0,3,500,0.006,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,DPOY,2016-17,3.0,1.2,108.0,3
8T,LaMarcus Aldridge,31,SAS,0,1,500,0.002,72,32.4,17.3,7.3,1.9,0.6,1.2,0.477,0.411,0.812,7.2,0.149,DPOY,2016-17,3.7,0.1,104.0,1
8T,Patrick Beverley,28,HOU,0,1,500,0.002,67,30.7,9.5,5.9,4.2,1.5,0.4,0.42,0.382,0.768,5.3,0.123,DPOY,2016-17,2.4,1.4,108.0,1
1,Giannis Antetokounmpo,22,MIL,80,428,500,0.856,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,MIP,2016-17,,,,428
10,Mike Conley,29,MEM,1,5,500,0.01,69,33.2,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,10.0,0.209,MIP,2016-17,,,,5
11,Dion Waiters,25,MIA,0,4,500,0.008,46,30.1,15.8,3.3,4.3,0.9,0.4,0.424,0.395,0.646,1.6,0.057,MIP,2016-17,,,,4
12T,Dennis Schröder,23,ATL,0,3,500,0.006,79,31.5,17.9,3.1,6.3,0.9,0.2,0.451,0.34,0.855,3.7,0.071,MIP,2016-17,,,,3
12T,Gordon Hayward,26,UTA,0,3,500,0.006,73,34.5,21.9,5.4,3.5,1.0,0.3,0.471,0.398,0.844,10.4,0.199,MIP,2016-17,,,,3
12T,Jusuf Nurkić,22,TOT,0,3,500,0.006,65,21.4,10.2,7.2,1.9,0.8,1.1,0.507,0.0,0.571,2.0,0.068,MIP,2016-17,,,,3
12T,Kristaps Porziņģis,21,NYK,0,3,500,0.006,66,32.8,18.1,7.2,1.5,0.7,2.0,0.45,0.357,0.786,4.5,0.1,MIP,2016-17,,,,3
16T,Gary Harris,22,DEN,0,2,500,0.004,57,31.3,14.9,3.1,2.9,1.2,0.1,0.502,0.42,0.776,4.6,0.124,MIP,2016-17,,,,2
16T,Harrison Barnes,24,DAL,0,2,500,0.004,79,35.5,19.2,5.0,1.5,0.8,0.2,0.468,0.351,0.861,4.6,0.078,MIP,2016-17,,,,2
16T,Myles Turner,20,IND,0,2,500,0.004,81,31.4,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809,8.0,0.151,MIP,2016-17,,,,2
16T,Seth Curry,26,DAL,0,2,500,0.004,70,29.0,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,4.6,0.11,MIP,2016-17,,,,2
2,Nikola Jokić,21,DEN,14,161,500,0.322,73,27.9,16.7,9.8,4.9,0.8,0.8,0.578,0.324,0.825,9.7,0.228,MIP,2016-17,,,,161
20T,Avery Bradley,26,BOS,0,1,500,0.002,55,33.4,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,3.1,0.081,MIP,2016-17,,,,1
20T,Clint Capela,22,HOU,0,1,500,0.002,65,23.9,12.6,8.1,1.0,0.5,1.2,0.643,,0.531,5.9,0.184,MIP,2016-17,,,,1
20T,DeMar DeRozan,27,TOR,0,1,500,0.002,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,MIP,2016-17,,,,1
20T,Hassan Whiteside,27,MIA,0,1,500,0.002,77,32.6,17.0,14.1,0.7,0.7,2.1,0.557,,0.628,9.5,0.181,MIP,2016-17,,,,1
20T,Joe Ingles,29,UTA,0,1,500,0.002,82,24.0,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735,5.0,0.123,MIP,2016-17,,,,1
20T,John Wall,26,WAS,0,1,500,0.002,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,MIP,2016-17,,,,1
3,Rudy Gobert,24,UTA,1,113,500,0.226,81,33.9,14.0,12.8,1.2,0.6,2.6,0.661,0.0,0.653,14.3,0.25,MIP,2016-17,,,,113
4,Otto Porter Jr.,23,WAS,1,43,500,0.086,80,32.6,13.4,6.4,1.5,1.5,0.5,0.516,0.434,0.832,9.4,0.173,MIP,2016-17,,,,43
5,Isaiah Thomas,27,BOS,0,35,500,0.07,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,MIP,2016-17,,,,35
6,James Johnson,29,MIA,1,34,500,0.068,76,27.4,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.707,5.1,0.117,MIP,2016-17,,,,34
7,Bradley Beal,23,WAS,1,19,500,0.038,77,34.9,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,8.5,0.152,MIP,2016-17,,,,19
8,Devin Booker,20,PHO,1,18,500,0.036,78,35.0,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,2.0,0.035,MIP,2016-17,,,,18
9,Tim Hardaway Jr.,24,ATL,0,14,500,0.028,79,27.3,14.5,2.8,2.3,0.7,0.2,0.455,0.357,0.766,4.8,0.107,MIP,2016-17,,,,14
1,Russell Westbrook,28,OKC,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,MVP,2016-17,,,,888
11,DeMar DeRozan,27,TOR,0,1,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,MVP,2016-17,,,,1
2,James Harden,27,HOU,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245,MVP,2016-17,,,,753
3,Kawhi Leonard,25,SAS,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,MVP,2016-17,,,,500
4,LeBron James,32,CLE,1,333,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,MVP,2016-17,,,,333
5,Isaiah Thomas,27,BOS,0,81,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,MVP,2016-17,,,,81
6,Stephen Curry,28,GSW,0,52,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,MVP,2016-17,,,,52
7T,Giannis Antetokounmpo,22,MIL,0,7,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,MVP,2016-17,,,,7
7T,John Wall,26,WAS,0,7,1010,0.007,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,MVP,2016-17,,,,7
9T,Anthony Davis,23,NOP,0,2,1010,0.002,75,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195,MVP,2016-17,,,,2
9T,Kevin Durant,28,GSW,0,2,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278,MVP,2016-17,,,,2
1,Malcolm Brogdon,24,MIL,64,414,500,0.828,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,ROTY,2016-17,,,,414
2,Dario Šarić,22,PHI,13,266,500,0.532,81,26.3,12.8,6.3,2.2,0.7,0.4,0.411,0.311,0.782,1.0,0.023,ROTY,2016-17,,,,266
3,Joel Embiid,22,PHI,23,177,500,0.354,31,25.4,20.2,7.8,2.1,0.9,2.5,0.466,0.367,0.783,1.9,0.117,ROTY,2016-17,,,,177
4,Buddy Hield,24,TOT,0,21,500,0.042,82,23.0,10.6,3.3,1.5,0.5,0.1,0.426,0.391,0.842,1.3,0.032,ROTY,2016-17,,,,21
5T,Jamal Murray,19,DEN,0,8,500,0.016,82,21.5,9.9,2.6,2.1,0.6,0.3,0.404,0.334,0.883,1.3,0.037,ROTY,2016-17,,,,8
5T,Willy Hernangómez,22,NYK,0,8,500,0.016,72,18.4,8.2,7.0,1.3,0.6,0.5,0.529,0.267,0.728,3.4,0.123,ROTY,2016-17,,,,8
7,Marquese Chriss,19,PHO,0,3,500,0.006,82,21.3,9.2,4.2,0.7,0.8,0.9,0.449,0.321,0.624,1.8,0.05,ROTY,2016-17,,,,3
8T,Jaylen Brown,20,BOS,0,1,500,0.002,78,17.2,6.6,2.8,0.8,0.4,0.2,0.454,0.341,0.685,1.5,0.053,ROTY,2016-17,,,,1
8T,Rodney McGruder,25,MIA,0,1,500,0.002,78,25.2,6.4,3.3,1.6,0.6,0.2,0.413,0.332,0.62,2.9,0.072,ROTY,2016-17,,,,1
8T,Yogi Ferrell,23,TOT,0,1,500,0.002,46,26.0,10.0,2.4,3.7,0.9,0.2,0.406,0.386,0.831,1.8,0.072,ROTY,2016-17,,,,1
1,Lou Williams,31,LAC,97,495,505,0.98,79,32.8,22.6,2.5,5.3,1.1,0.2,0.435,0.359,0.88,6.7,0.125,6MOY,2017-18,,,,495
10T,Dwyane Wade,36,TOT,0,3,505,0.006,67,22.9,11.4,3.8,3.4,0.9,0.7,0.438,0.288,0.714,1.1,0.036,6MOY,2017-18,,,,3
10T,Terry Rozier,23,BOS,0,3,505,0.006,80,25.9,11.3,4.7,2.9,1.0,0.2,0.395,0.381,0.772,5.6,0.13,6MOY,2017-18,,,,3
12T,J.J. Barea,33,DAL,0,1,505,0.002,69,23.2,11.6,2.9,6.3,0.5,0.0,0.439,0.367,0.784,3.3,0.098,6MOY,2017-18,,,,1
12T,Jakob Poeltl,22,TOR,0,1,505,0.002,82,18.6,6.9,4.8,0.7,0.5,1.2,0.659,0.5,0.594,5.6,0.175,6MOY,2017-18,,,,1
12T,Luc Mbah a Moute,31,HOU,0,1,505,0.002,61,25.6,7.5,3.0,0.9,1.2,0.4,0.481,0.364,0.684,2.8,0.087,6MOY,2017-18,,,,1
12T,Marco Belinelli,31,TOT,0,1,505,0.002,80,24.3,12.1,1.9,1.9,0.8,0.2,0.441,0.377,0.908,3.7,0.092,6MOY,2017-18,,,,1
12T,Rodney Hood,25,TOT,0,1,505,0.002,60,26.9,14.7,2.8,1.6,0.8,0.2,0.429,0.381,0.86,2.7,0.081,6MOY,2017-18,,,,1
12T,Tomáš Satoranský,26,WAS,0,1,505,0.002,73,22.5,7.2,3.2,3.9,0.7,0.2,0.523,0.465,0.781,5.0,0.145,6MOY,2017-18,,,,1
2,Eric Gordon,29,HOU,3,246,505,0.487,69,31.2,18.0,2.5,2.2,0.6,0.4,0.428,0.359,0.809,4.7,0.105,6MOY,2017-18,,,,246
3,Fred VanVleet,23,TOR,1,64,505,0.127,76,20.0,8.6,2.4,3.2,0.9,0.3,0.426,0.414,0.832,4.7,0.149,6MOY,2017-18,,,,64
4,Will Barton,27,DEN,0,62,505,0.123,81,33.1,15.7,5.0,4.1,1.0,0.6,0.452,0.37,0.805,6.2,0.111,6MOY,2017-18,,,,62
5,Wayne Ellington,30,MIA,0,9,505,0.018,77,26.5,11.2,2.8,1.0,0.7,0.1,0.407,0.392,0.859,4.5,0.105,6MOY,2017-18,,,,9
6,Kelly Olynyk,26,MIA,0,7,505,0.014,76,23.4,11.5,5.7,2.7,0.8,0.5,0.497,0.379,0.77,5.5,0.148,6MOY,2017-18,,,,7
7T,Jordan Clarkson,25,TOT,0,5,505,0.01,81,23.3,13.9,2.7,2.7,0.7,0.1,0.451,0.352,0.8,3.0,0.077,6MOY,2017-18,,,,5
7T,Nikola Mirotić,26,TOT,0,5,505,0.01,55,27.2,15.6,7.4,1.5,0.8,0.7,0.447,0.377,0.818,4.0,0.128,6MOY,2017-18,,,,5
9,Kyle Kuzma,22,LAL,0,4,505,0.008,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.366,0.707,3.8,0.077,6MOY,2017-18,,,,4
1,Rudy Gobert,25,UTA,89,466,505,0.923,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,,0.682,8.1,0.214,DPOY,2017-18,3.9,2.5,99.0,466
10,Jaylen Brown,21,BOS,0,5,505,0.01,70,30.7,14.5,4.9,1.6,1.0,0.4,0.465,0.395,0.644,4.5,0.1,DPOY,2017-18,3.2,0.3,105.0,5
11,Klay Thompson,27,GSW,0,4,505,0.008,73,34.3,20.0,3.8,2.5,0.8,0.5,0.488,0.44,0.837,4.9,0.094,DPOY,2017-18,1.8,-2.1,111.0,4
12T,Jimmy Butler,28,MIN,0,3,505,0.006,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198,DPOY,2017-18,1.8,0.7,110.0,3
12T,Steven Adams,24,OKC,0,3,505,0.006,76,32.7,13.9,9.0,1.2,1.2,1.0,0.629,0.0,0.559,9.7,0.187,DPOY,2017-18,3.0,-0.6,107.0,3
14,Clint Capela,23,HOU,0,2,505,0.004,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0.0,0.56,10.2,0.242,DPOY,2017-18,4.1,1.0,101.0,2
15T,Andre Drummond,24,DET,0,1,505,0.002,78,33.7,15.0,16.0,3.0,1.5,1.6,0.529,0.0,0.605,10.3,0.188,DPOY,2017-18,5.7,1.7,99.0,1
15T,Jusuf Nurkić,23,POR,0,1,505,0.002,79,26.4,14.3,9.0,1.8,0.8,1.4,0.505,0.0,0.63,4.7,0.108,DPOY,2017-18,3.9,1.1,101.0,1
15T,Victor Oladipo,25,IND,0,1,505,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,DPOY,2017-18,4.0,1.7,104.0,1
2,Joel Embiid,23,PHI,2,163,505,0.323,63,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,DPOY,2017-18,3.8,1.3,100.0,163
3,Anthony Davis,24,NOP,5,139,505,0.275,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,DPOY,2017-18,4.9,1.4,102.0,139
4,Paul George,27,OKC,2,38,505,0.075,79,36.6,21.9,5.7,3.3,2.0,0.5,0.43,0.401,0.822,8.9,0.147,DPOY,2017-18,3.9,0.6,106.0,38
5,Al Horford,31,BOS,1,37,505,0.073,72,31.6,12.9,7.4,4.7,0.6,1.1,0.489,0.429,0.783,7.8,0.165,DPOY,2017-18,3.8,2.0,103.0,37
6,Draymond Green,27,GSW,1,20,505,0.04,70,32.7,11.0,7.6,7.3,1.4,1.3,0.454,0.301,0.775,6.1,0.127,DPOY,2017-18,3.4,1.9,105.0,20
7,Jrue Holiday,27,NOP,1,11,505,0.022,81,36.1,19.0,4.5,6.0,1.5,0.8,0.494,0.337,0.786,7.1,0.116,DPOY,2017-18,2.9,0.3,109.0,11
8,Robert Covington,27,PHI,0,8,505,0.016,80,31.7,12.6,5.4,2.0,1.7,0.9,0.413,0.369,0.853,6.1,0.116,DPOY,2017-18,4.5,1.7,103.0,8
9,Kevin Durant,29,GSW,0,7,505,0.014,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,DPOY,2017-18,2.9,0.6,107.0,7
1,Victor Oladipo,25,IND,99,499,505,0.988,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,MIP,2017-18,,,,499
10T,Lou Williams,31,LAC,0,8,505,0.016,79,32.8,22.6,2.5,5.3,1.1,0.2,0.435,0.359,0.88,6.7,0.125,MIP,2017-18,,,,8
10T,Terry Rozier,23,BOS,0,8,505,0.016,80,25.9,11.3,4.7,2.9,1.0,0.2,0.395,0.381,0.772,5.6,0.13,MIP,2017-18,,,,8
12,Giannis Antetokounmpo,23,MIL,0,7,505,0.014,75,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,MIP,2017-18,,,,7
13T,Domantas Sabonis,21,IND,0,6,505,0.012,74,24.5,11.6,7.7,2.0,0.5,0.4,0.514,0.351,0.75,4.7,0.126,MIP,2017-18,,,,6
13T,E'Twaun Moore,28,NOP,0,6,505,0.012,82,31.5,12.5,2.9,2.3,1.0,0.1,0.508,0.425,0.706,4.4,0.081,MIP,2017-18,,,,6
13T,Fred VanVleet,23,TOR,0,6,505,0.012,76,20.0,8.6,2.4,3.2,0.9,0.3,0.426,0.414,0.832,4.7,0.149,MIP,2017-18,,,,6
13T,Nikola Jokić,22,DEN,0,6,505,0.012,75,32.6,18.5,10.7,6.1,1.2,0.8,0.499,0.396,0.85,10.7,0.211,MIP,2017-18,,,,6
17T,Brandon Ingram,20,LAL,0,4,505,0.008,59,33.5,16.1,5.3,3.9,0.8,0.7,0.47,0.39,0.681,2.8,0.068,MIP,2017-18,,,,4
17T,Dejounte Murray,21,SAS,0,4,505,0.008,81,21.5,8.1,5.7,2.9,1.2,0.4,0.443,0.265,0.709,3.2,0.087,MIP,2017-18,,,,4
17T,Tyreke Evans,28,MEM,0,4,505,0.008,52,30.9,19.4,5.1,5.2,1.1,0.3,0.452,0.399,0.785,4.2,0.126,MIP,2017-18,,,,4
2,Clint Capela,23,HOU,1,99,505,0.196,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0.0,0.56,10.2,0.242,MIP,2017-18,,,,99
20T,Dario Šarić,23,PHI,0,3,505,0.006,78,29.6,14.6,6.7,2.6,0.7,0.3,0.453,0.393,0.86,6.6,0.137,MIP,2017-18,,,,3
20T,Joe Ingles,30,UTA,0,3,505,0.006,82,31.4,11.5,4.2,4.8,1.1,0.2,0.467,0.44,0.795,7.6,0.141,MIP,2017-18,,,,3
20T,Tobias Harris,25,TOT,0,3,505,0.006,80,33.4,18.6,5.5,2.4,0.9,0.4,0.46,0.411,0.829,6.7,0.12,MIP,2017-18,,,,3
23T,Aaron Gordon,22,ORL,0,2,505,0.004,58,32.9,17.6,7.9,2.3,1.0,0.8,0.434,0.336,0.698,2.9,0.072,MIP,2017-18,,,,2
23T,Kris Dunn,23,CHI,0,2,505,0.004,52,29.3,13.4,4.3,6.0,2.0,0.5,0.429,0.321,0.737,0.9,0.027,MIP,2017-18,,,,2
25T,Josh Richardson,24,MIA,0,1,505,0.002,81,33.2,12.9,3.5,2.9,1.5,0.9,0.451,0.378,0.845,5.4,0.096,MIP,2017-18,,,,1
25T,Karl-Anthony Towns,22,MIN,0,1,505,0.002,82,35.6,21.3,12.3,2.4,0.8,1.4,0.545,0.421,0.858,14.0,0.23,MIP,2017-18,,,,1
25T,Kristaps Porziņģis,22,NYK,0,1,505,0.002,48,32.4,22.7,6.6,1.2,0.8,2.4,0.439,0.395,0.793,3.2,0.099,MIP,2017-18,,,,1
25T,Montrezl Harrell,24,LAC,0,1,505,0.002,76,17.0,11.0,4.0,1.0,0.5,0.7,0.635,0.143,0.626,5.5,0.205,MIP,2017-18,,,,1
25T,Pascal Siakam,23,TOR,0,1,505,0.002,81,20.7,7.3,4.5,2.0,0.8,0.5,0.508,0.22,0.621,4.7,0.133,MIP,2017-18,,,,1
25T,Ricky Rubio,27,UTA,0,1,505,0.002,77,29.3,13.1,4.6,5.3,1.6,0.1,0.418,0.352,0.866,5.3,0.112,MIP,2017-18,,,,1
25T,T.J. Warren,24,PHO,0,1,505,0.002,65,33.0,19.6,5.1,1.3,1.0,0.6,0.498,0.222,0.757,3.4,0.077,MIP,2017-18,,,,1
25T,Taurean Prince,23,ATL,0,1,505,0.002,82,30.0,14.1,4.7,2.6,1.0,0.5,0.426,0.385,0.844,2.0,0.038,MIP,2017-18,,,,1
3,Spencer Dinwiddie,24,BRK,1,50,505,0.099,80,28.8,12.6,3.2,6.6,0.9,0.3,0.387,0.326,0.813,5.7,0.118,MIP,2017-18,,,,50
4,Andre Drummond,24,DET,0,46,505,0.091,78,33.7,15.0,16.0,3.0,1.5,1.6,0.529,0.0,0.605,10.3,0.188,MIP,2017-18,,,,46
5,Julius Randle,23,LAL,0,36,505,0.071,82,26.7,16.1,8.0,2.6,0.5,0.5,0.558,0.222,0.718,6.6,0.145,MIP,2017-18,,,,36
6,Steven Adams,24,OKC,0,34,505,0.067,76,32.7,13.9,9.0,1.2,1.2,1.0,0.629,0.0,0.559,9.7,0.187,MIP,2017-18,,,,34
7,Jaylen Brown,21,BOS,0,32,505,0.063,70,30.7,14.5,4.9,1.6,1.0,0.4,0.465,0.395,0.644,4.5,0.1,MIP,2017-18,,,,32
8,Jamal Murray,20,DEN,0,24,505,0.048,81,31.7,16.7,3.7,3.4,1.0,0.3,0.451,0.378,0.905,5.5,0.103,MIP,2017-18,,,,24
9,DeMar DeRozan,28,TOR,0,9,505,0.018,80,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,MIP,2017-18,,,,9
1,James Harden,28,HOU,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,MVP,2017-18,,,,965
10T,Jimmy Butler,28,MIN,0,5,1010,0.005,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198,MVP,2017-18,,,,5
10T,Stephen Curry,29,GSW,0,5,1010,0.005,51,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,MVP,2017-18,,,,5
12,Joel Embiid,23,PHI,0,4,1010,0.004,63,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,MVP,2017-18,,,,4
13,Victor Oladipo,25,IND,0,2,1010,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,MVP,2017-18,,,,2
2,LeBron James,33,CLE,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221,MVP,2017-18,,,,738
3,Anthony Davis,24,NOP,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,MVP,2017-18,,,,445
4,Damian Lillard,27,POR,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,MVP,2017-18,,,,207
5,Russell Westbrook,29,OKC,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,MVP,2017-18,,,,76
